City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
234,Mogadishu,SO,2021-08-14 16:54:56,2.0371,45.3438,76.35,87,73,18.41,broken clouds
235,Tomatlan,MX,2021-08-14 16:54:57,19.9333,-105.25,87.3,64,18,4.0,few clouds
236,Emerald,AU,2021-08-14 16:54:57,-23.5333,148.1667,57.34,77,20,5.75,few clouds
237,Lebu,CL,2021-08-14 16:54:58,-37.6167,-73.65,52.43,70,98,5.1,overcast clouds
238,Geraldton,AU,2021-08-14 16:54:58,-28.7667,114.6,45.01,93,0,6.91,clear sky
239,Wageningen,NL,2021-08-14 16:54:59,51.9667,5.6667,76.24,63,30,5.75,scattered clouds
240,Baherden,TM,2021-08-14 16:54:59,38.4362,57.4316,84.43,17,0,7.85,clear sky
241,Kupang,ID,2021-08-14 16:54:59,-10.1667,123.5833,76.01,79,4,11.14,clear sky
242,Hoquiam,US,2021-08-14 16:55:00,46.9809,-123.8893,63.95,78,99,1.99,overcast clouds
243,Codrington,AU,2021-08-14 16:55:00,-38.2667,141.9667,46.58,91,5,13.67,clear sky
244,Arraial Do Cabo,BR,2021-08-14 16:55:00,-22.9661,-42.0278,66.16,88,90,9.22,overcast clouds
245,Turinsk,RU,2021-08-14 16:55:01,58.0458,63.696,68.5,62,40,7.38,scattered clouds
246,Alta Floresta,BR,2021-08-14 16:55:03,-9.8756,-56.0861,98.51,18,40,6.31,scattered clouds
247,Coihaique,CL,2021-08-14 16:55:04,-45.5752,-72.0662,48.81,57,0,0.0,clear sky
248,Padang,ID,2021-08-14 16:50:13,-0.9492,100.3543,76.51,93,100,7.36,light rain
249,Samana,DO,2021-08-14 16:55:05,19.2056,-69.3369,86.22,74,40,6.91,scattered clouds
250,Egvekinot,RU,2021-08-14 16:55:05,66.3167,-179.1667,42.96,98,100,0.85,overcast clouds
251,Provideniya,RU,2021-08-14 16:55:05,64.3833,-173.3,48.29,98,100,5.55,overcast clouds
252,Butaritari,KI,2021-08-14 16:54:40,3.0707,172.7902,82.35,75,67,9.19,light rain
253,Alice Springs,AU,2021-08-14 16:55:06,-23.7,133.8833,49.55,43,0,5.75,clear sky
254,Lazaro Cardenas,MX,2021-08-14 16:55:06,17.9583,-102.2,85.01,71,82,0.47,broken clouds
255,Nacala,MZ,2021-08-14 16:55:07,-14.5428,40.6728,76.32,64,0,18.41,clear sky
256,Yuci,CN,2021-08-14 16:55:07,37.6803,112.7319,71.35,73,28,8.95,scattered clouds
257,Alvorada,BR,2021-08-14 16:55:07,-12.48,-49.1247,96.71,15,2,6.29,clear sky
258,Naraina,IN,2021-08-14 16:55:08,26.7833,75.2,84.34,55,100,8.05,overcast clouds
